S.NO,Movie,Year,Language,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,PosterURL
1903,Gang of Ghosts,2014,Hindi,,,"Gang of Ghostsis a 2014 Hindihorrorcomedyfilm, produced by Venus Records & Tapes Pvt Ltd and The Satish Kaushik Entertainment. Directed bySatish Kaushik, it is a remake of Bengali filmBhooter Bhabishyat(Future of The Ghosts).",,,,https://upload.wikimedia.org/wikipedia/en/thumb/a/ac/Gang_Of_Ghosts%2C_Official_Poster%2C_2014.jpg/250px-Gang_Of_Ghosts%2C_Official_Poster%2C_2014.jpg
1904,Lakshmi,2014,Hindi,,,,,,,
1905,Ragini MMS 2,2014,Hindi,,,,,,,
1906,O Teri,2014,Hindi,,,Bilal Amrohi,,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e0/O_Teri_Poster.jpg/250px-O_Teri_Poster.jpg
1907,Station,2014,Hindi,,,"Stationis a 2014 Hindithrillerfilm written and directed bySaad Khanand was produced by Sumit Ghosh Media, an independent company that promotes talents from Bangalore.[2][3]Sameer Kevin Roy, Vibhinta Verma, and Siddhanth Sundar star as the main protagonists of the film. Production began in November 2011, and was wrapped up in July 2012. The film went to post-production in March 2013, and was released on 28 March 2014 viaPVR Cinemasand its arm PVR DIRECTOR'S RARE which works as a springboard to support the theatrical release of the critically acclaimed cinema and niche content from across the world.[4]The official theatrical trailer was launched on 20 February 2014 at PVRForum Mall,[5]Bangalore in the presence of Kannada film director Jacob Verghese, prominent Fashion GuruPrasad Bidapaalong with Miss EarthNicole Faria, and the cast and crew of the film.[6][7][8]The film follows three psychotic assassins as they wait to finish a job at a waiting room on a deserted railway station.[9]",,,,https://upload.wikimedia.org/wikipedia/en/2/26/Station_The_Film_poster.png
1908,Youngistaan,2014,Hindi,,,"Youngistaan(transl.Land of the young) is a 2014 IndianHindi-languageromancepolitical filmdirected by Syed Ahmad Afzal. It starsJackky Bhagnani,Neha SharmaandFarooq Sheikh. The film is a love story set against the backdrop of Indian politics. It marked the posthumous appearance of Sheikh following his death on 28 December 2013.[3][4][5]It was a remake of theTelugufilmLeader.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Youngistaan.jpg/250px-Youngistaan.jpg
1909,Honour Killing,2014,Hindi,,,"Honour Killingis a 2015Bollywoodmultilingualsocialdrama filmwritten and directed by Avtar Bhogal, and produced byManmohan Singhunder the banners of ABC Films International and Ek Onkar Films. The film features actorsZara Sheikhand Sandeep Singh in the lead roles. The film's music was composed byUttam Singh.[2]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Honour_Killing_poster.jpg/250px-Honour_Killing_poster.jpg
1910,Jal,2014,Hindi,,,"Jal(transl.Water) is a 2013 IndianHindi-languagedrama filmset in theRann of Kutch, India, and follows an overconfidentwater divinerBakka who tries to solve the drought problems in his village, but faces unforeseen circumstances when he tries to help a femalebird watchersaveflamingos. The film is directed byGirish Malikand is his debut film as a director.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/f/fe/Jal_Movie_Official_Poster.jpg/250px-Jal_Movie_Official_Poster.jpg
1911,Main Tera Hero,2014,Hindi,,,"Main Tera Hero(transl.I am your hero) is a 2014 IndianHindi-languagemasala filmdirected byDavid Dhawan, with script and dialogues fromTushar HiranandaniandMilap Zaveri, and produced byShobha KapoorandEkta KapoorunderBalaji Motion Pictures. The film starsVarun Dhawan, alongsideIleana D'Cruz,Nargis Fakhri,Arunoday Singh,Anupam Kher,Rajpal YadavandShakti Kapoor. The movie is a remake of 2011 Telugu movieKandireega.[3]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/0/06/MTH_Poster.jpg/250px-MTH_Poster.jpg
1912,Dekh Tamasha Dekh,2014,Hindi,,,Dekh Tamasha Dekh(transl.Do watch the spectacle) is a 2014 IndianHindi-language social and political satire film about a true incident. It revolves around the search for the religious identity of a poor man crushed under the weight of a politician's hoarding. The film explores an impossible India where bizarreness is normal.[1],,,,https://upload.wikimedia.org/wikipedia/en/7/72/Dekh_Tamasha_Dekh.Jpg
1913,Lucky Kabootar,2014,Hindi,,,"Lucky Kabootar(transl.Lucky Pigeon)[1]is a 2014 IndianHindi-languageromantic-comedyfilm,[2][3][4]directed by Shammi Chhabra and produced byKaran Raj Kanwar.[5]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Lucky_Kabootar.Jpg/250px-Lucky_Kabootar.Jpg
1914,Revolver Rani,2014,Hindi,,,"Revolver Rani(transl.The revolver queen) is a 2014 IndianHindi-languagecrimecomedy drama filmwritten and directed by Sai Kabir. Presented by Wave Cinemas, the film starsKangana RanautandVir Das, withPiyush Mishra,Zakir Hussainand Pankaj Saraswat in supporting roles. It is a satirical love story set against the backdrop of politics.Revolver Raniwas released on 25 April 2014.",,,,https://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Revolver_Rani_First_Look_Poster.jpg/250px-Revolver_Rani_First_Look_Poster.jpg
1915,Samrat & Co.,2014,Hindi,,,Samrat & Co.is a 2014 IndianHindi-language detective thriller film directed byKaushik Ghatakand produced byKavita K. Barjatyaunder the banner ofRajshri Productions. It featuresRajeev Khandelwal[1]in the title role of Samrat.[2][3]The film was initially scheduled for release on 1 May 2014 release[3][4]but was released ahead of schedule on 25 April 2014.[5][6][7][8],,,,https://upload.wikimedia.org/wikipedia/en/thumb/5/51/Samrat_%26_Co_%E2%80%94_poster.jpg/250px-Samrat_%26_Co_%E2%80%94_poster.jpg
1916,Kya Dilli Kya Lahore,2014,Hindi,,,"Kya Dilli Kya Lahore(transl.What Delhi, what Lahore?) is a 2014 IndianHindi-languagewar filmset in 1948, post India's independence, and deals with thePartition of India. The film starsVijay Raaz,Manu Rishi,Raj ZutshiandVishwajeet Pradhan, withGulzarcredited as the presenter. Produced by Karan Arora, it marks the directorial debut of Raaz. The first look of the film was released at theWagahborder. It was released worldwide on 2 May 2014 to positive response from critics.[1][2]",,,,https://upload.wikimedia.org/wikipedia/en/9/9f/Kya_dilli_kya_lahore_the_movie.jpg
1917,Kahin Hai Mera Pyar,2014,Hindi,,,"Kahin Hai Mera Pyar(transl.My love is somewhere) is a 2014 IndianHindi-languageromance filmdirected byMahesh Vaijnath Doijode. The film starsJackie Shroff,Sonia Mann,Sanjay Kapoor, and Abhishek Sethiya. The film's soundtrack, composed byRavindra Jain, was launched on 31 March 2014 at Novotel Juhu, Mumbai. It was released on 1 May 2014.[2]",,,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/Kahin_Hai_Mera_Pyar.jpg/250px-Kahin_Hai_Mera_Pyar.jpg
1918,Khwaabb,2014,Hindi,,,Khwaabb(transl.Dream) is a 2014 IndianHindi-languageromanceanddrama filmdirected by Zaid Ali Khan and produced byMoraad Ali Khanunder the banner of Bullseye Productions. It stars Navdip Singh and Simar Motiani. The film's soundtrack was composed bySandeep Chowtaand Sajjad Ali Chandwani. It was released worldwide on 9 May 2014.[1],,,,https://upload.wikimedia.org/wikipedia/en/3/3d/Khwaabb_poster.jpg
